Category,City,Country,Customer ID,Customer Name,Discount,Market,Order Date,Order ID,Order Priority,Product ID,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,Shipping Cost,State,Sub-Category,Year,Market2,weeknum,day_for_shipping,shipping_date_count,order_date_count,planning_day_for_shipping,planning_day_for_shippin_,late_risk,on_time,shipping_benefit
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,0.0,US,2013-11-04,CA-2013-109365,Medium,OFF-PA-10004359,Multicolor Computer Printout Paper,150.984,3,West,315,Consumer,2013-11-09,Standard Class,22.15,California,Paper,2013,North America,45,5,51,59,4,4,1,0,-22.15
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,0.0,US,2013-11-04,CA-2013-109365,Medium,OFF-PA-10001725,Xerox 1892,56.9772,3,West,116,Consumer,2013-11-09,Standard Class,5.57,California,Paper,2013,North America,45,5,51,59,4,4,1,0,-5.57
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,0.0,US,2013-11-04,CA-2013-109365,Medium,OFF-PA-10000477,Xerox 22,9.3312,3,West,19,Consumer,2013-11-09,Standard Class,1.3,California,Paper,2013,North America,45,5,51,59,4,4,1,0,-1.3
Office Supplies,Los Angeles,United States,AI-108554,Arianne Irving,0.0,US,2013-11-11,CA-2013-158694,High,OFF-PA-10002421,Embossed Ink Jet Note Cards,32.5008,3,West,68,Consumer,2013-11-14,Second Class,10.83,California,Paper,2013,North America,46,3,28,102,2,2,1,0,-10.83
Office Supplies,Los Angeles,United States,AI-108554,Arianne Irving,0.0,US,2013-11-11,CA-2013-158694,High,OFF-PA-10001363,Xerox 1933,28.858,5,West,61,Consumer,2013-11-14,Second Class,8.68,California,Paper,2013,North America,46,3,28,102,2,2,1,0,-8.68
Office Supplies,Los Angeles,United States,SO-203354,Sean O'Donnell,0.0,US,2014-01-15,CA-2014-149076,Medium,OFF-PA-10000483,Xerox 19,69.705,5,West,155,Consumer,2014-01-20,Standard Class,9.12,California,Paper,2014,North America,3,5,23,44,4,4,1,0,-9.12
Office Supplies,Los Angeles,United States,CK-125954,Clytie Kelty,0.0,US,2014-02-24,CA-2014-104647,Medium,OFF-PA-10002870,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",16.848,6,West,37,Consumer,2014-03-02,Standard Class,3.82,California,Paper,2014,North America,9,6,21,40,4,4,1,0,-3.82
Office Supplies,Los Angeles,United States,PS-187604,Pamela Stobb,0.0,US,2014-04-18,CA-2014-128965,Medium,OFF-PA-10004911,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",13.5072,3,West,28,Consumer,2014-04-23,Standard Class,2.84,California,Paper,2014,North America,16,5,46,42,4,4,1,0,-2.84
Office Supplies,Los Angeles,United States,LL-168404,Lauren Leatherbury,0.0,US,2014-04-26,CA-2014-120222,Medium,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",8.763,3,West,19,Consumer,2014-05-03,Standard Class,1.52,California,Paper,2014,North America,17,7,37,28,4,4,1,0,-1.52
Office Supplies,Los Angeles,United States,DD-135704,Dorothy Dickinson,0.0,US,2014-05-03,CA-2014-147844,Medium,OFF-PA-10003016,"Adams ""While You Were Out"" Message Pads",7.065,5,West,16,Consumer,2014-05-07,Standard Class,0.93,California,Paper,2014,North America,18,4,36,18,4,4,0,1,-0.93
Office Supplies,Los Angeles,United States,DD-135704,Dorothy Dickinson,0.0,US,2014-05-03,CA-2014-147844,Medium,OFF-PA-10002713,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",15.824,5,West,34,Consumer,2014-05-07,Standard Class,2.54,California,Paper,2014,North America,18,4,36,18,4,4,0,1,-2.54
Office Supplies,Los Angeles,United States,DV-134654,Dianna Vittorini,0.0,US,2014-06-12,US-2014-152002,Medium,OFF-PA-10000357,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",60.2553,3,West,123,Consumer,2014-06-12,Same Day,23.65,California,Paper,2014,North America,24,0,61,68,0,0,0,1,-23.65
Office Supplies,Los Angeles,United States,CC-126704,Craig Carreira,0.0,US,2014-06-19,CA-2014-112753,High,OFF-PA-10002036,Xerox 1930,19.0512,6,West,39,Consumer,2014-06-24,Standard Class,4.89,California,Paper,2014,North America,25,5,41,51,4,4,1,0,-4.89
Office Supplies,Los Angeles,United States,TT-212204,Thomas Thornton,0.0,US,2014-07-01,US-2014-113201,Medium,OFF-PA-10000675,Xerox 1919,100.4255,5,West,205,Consumer,2014-07-06,Standard Class,14.98,California,Paper,2014,North America,27,5,47,37,4,4,1,0,-14.98
Office Supplies,Los Angeles,United States,TB-215204,Tracy Blumstein,0.0,US,2014-07-24,CA-2014-133718,Critical,OFF-PA-10002689,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),27.9936,9,West,58,Consumer,2014-07-27,First Class,7.82,California,Paper,2014,North America,30,3,28,50,1,1,1,0,-7.82
Office Supplies,Los Angeles,United States,KT-164804,Kean Thornton,0.0,US,2014-08-21,CA-2014-105326,Medium,OFF-PA-10001639,Xerox 203,12.4416,4,West,26,Consumer,2014-08-28,Standard Class,1.27,California,Paper,2014,North America,34,7,64,53,4,4,1,0,-1.27
Office Supplies,Los Angeles,United States,LC-170504,Liz Carlisle,0.0,US,2014-09-10,CA-2014-137498,Medium,OFF-PA-10000143,Astroparche Fine Business Paper,22.8096,9,West,48,Consumer,2014-09-15,Second Class,5.29,California,Paper,2014,North America,37,5,70,71,2,2,1,0,-5.29
Office Supplies,Los Angeles,United States,JM-158654,John Murray,0.0,US,2014-09-13,US-2014-109582,Medium,OFF-PA-10004071,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",79.8912,3,West,166,Consumer,2014-09-18,Second Class,11.1,California,Paper,2014,North America,37,5,63,28,2,2,1,0,-11.1
Office Supplies,Los Angeles,United States,DB-136604,Duane Benoit,0.0,US,2014-09-24,CA-2014-121853,Medium,OFF-PA-10003641,Xerox 1909,97.0784,8,West,211,Consumer,2014-09-30,Standard Class,15.64,California,Paper,2014,North America,39,6,80,63,4,4,1,0,-15.64
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,0.0,US,2014-10-10,US-2014-115595,Medium,OFF-PA-10001745,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",16.544,5,West,35,Consumer,2014-10-12,First Class,7.79,California,Paper,2014,North America,41,2,81,54,1,1,1,0,-7.79
Office Supplies,Los Angeles,United States,GA-147254,Guy Armstrong,0.0,US,2014-11-12,CA-2014-110842,Medium,OFF-PA-10000520,Xerox 201,9.3312,3,West,19,Consumer,2014-11-17,Standard Class,1.43,California,Paper,2014,North America,46,5,101,103,4,4,1,0,-1.43
Office Supplies,Los Angeles,United States,EP-139154,Emily Phan,0.0,US,2014-11-13,US-2014-125808,High,OFF-PA-10001846,Xerox 1899,5.6644,2,West,12,Consumer,2014-11-16,Second Class,1.71,California,Paper,2014,North America,46,3,99,114,2,2,1,0,-1.71
Office Supplies,Los Angeles,United States,CC-125504,Clay Cheatham,0.0,US,2014-12-02,CA-2014-118542,Medium,OFF-PA-10004735,Xerox 1905,21.7728,7,West,45,Consumer,2014-12-06,Standard Class,3.56,California,Paper,2014,North America,49,4,74,94,4,4,0,1,-3.56
Office Supplies,Los Angeles,United States,EP-139154,Emily Phan,0.0,US,2014-12-19,CA-2014-102099,Medium,OFF-PA-10003172,Xerox 1996,6.2208,2,West,13,Consumer,2014-12-20,First Class,0.94,California,Paper,2014,North America,51,1,74,101,1,1,0,1,-0.94
Office Supplies,Los Angeles,United States,EP-139154,Emily Phan,0.0,US,2014-12-19,CA-2014-102099,Medium,OFF-PA-10000289,Xerox 213,15.552,5,West,32,Consumer,2014-12-20,First Class,1.09,California,Paper,2014,North America,51,1,74,101,1,1,0,1,-1.09
Office Supplies,Los Angeles,United States,SR-207404,Steven Roelle,0.0,US,2011-02-21,CA-2011-164903,High,OFF-PA-10003363,Xerox 204,6.2208,2,West,13,Home Office,2011-02-25,Standard Class,1.14,California,Paper,2011,North America,9,4,24,21,4,4,0,1,-1.14
Office Supplies,Los Angeles,United States,AY-105554,Andy Yotov,0.0,US,2011-04-06,CA-2011-102652,Medium,OFF-PA-10001977,Xerox 194,26.6304,1,West,55,Corporate,2011-04-12,Standard Class,2.28,California,Paper,2011,North America,15,6,18,25,4,4,1,0,-2.28
Office Supplies,Los Angeles,United States,AY-105554,Andy Yotov,0.0,US,2011-04-06,CA-2011-102652,Medium,OFF-PA-10003309,Xerox 211,9.3312,3,West,19,Corporate,2011-04-12,Standard Class,2.11,California,Paper,2011,North America,15,6,18,25,4,4,1,0,-2.11
Office Supplies,Los Angeles,United States,AH-100304,Aaron Hawkins,0.0,US,2011-05-13,CA-2011-113768,Medium,OFF-PA-10003063,EcoTones Memo Sheets,3.84,2,West,8,Corporate,2011-05-19,Standard Class,0.15,California,Paper,2011,North America,20,6,10,21,4,4,1,0,-0.15
Office Supplies,Los Angeles,United States,VF-217154,Vicky Freymann,0.0,US,2011-07-25,CA-2011-146528,High,OFF-PA-10002195,Xerox 1966,3.1752,1,West,6,Home Office,2011-07-27,Second Class,0.79,California,Paper,2011,North America,31,2,23,15,2,2,0,1,-0.79
Office Supplies,Los Angeles,United States,JM-152654,Janet Molinari,0.0,US,2011-08-25,CA-2011-104178,High,OFF-PA-10004983,Xerox 23,12.4416,4,West,26,Corporate,2011-08-29,Standard Class,3.11,California,Paper,2011,North America,35,4,42,53,4,4,0,1,-3.11
Office Supplies,Los Angeles,United States,GG-146504,Greg Guthrie,0.0,US,2011-10-31,CA-2011-106439,High,OFF-PA-10000477,Xerox 1952,30.4278,13,West,65,Corporate,2011-11-04,Standard Class,6.72,California,Paper,2011,North America,45,4,30,39,4,4,0,1,-6.72
Office Supplies,Los Angeles,United States,PL-189254,Paul Lucas,0.0,US,2011-11-01,CA-2011-168305,Medium,OFF-PA-10004947,Staples,9.63,5,West,21,Home Office,2011-11-08,Standard Class,0.92,California,Paper,2011,North America,45,7,61,76,4,4,1,0,-0.92
Office Supplies,Los Angeles,United States,MA-175604,Matt Abelman,0.0,US,2011-11-11,CA-2011-140732,High,OFF-PA-10003625,Xerox 1979,55.764,4,West,124,Home Office,2011-11-13,Second Class,27.69,California,Paper,2011,North America,46,2,36,61,2,2,0,1,-27.69
Office Supplies,Los Angeles,United States,MC-181304,Mike Caudle,0.0,US,2012-03-19,CA-2012-163104,Medium,OFF-PA-10001947,Xerox 1974,5.8604,2,West,12,Corporate,2012-03-26,Standard Class,1.2,California,Paper,2012,North America,12,7,34,44,4,4,1,0,-1.2
Office Supplies,Los Angeles,United States,AM-103604,Alice McCarthy,0.0,US,2012-03-23,US-2012-107944,High,OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",92.5056,11,West,193,Corporate,2012-03-25,First Class,27.31,California,Paper,2012,North America,12,2,26,32,1,1,1,0,-27.31
Office Supplies,Los Angeles,United States,BP-110954,Bart Pistole,0.0,US,2012-03-23,CA-2012-138219,Medium,OFF-PA-10000380,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,4,West,33,Corporate,2012-03-30,Standard Class,2.16,California,Paper,2012,North America,12,7,21,32,4,4,1,0,-2.16
Office Supplies,Los Angeles,United States,DE-132554,Deanra Eno,0.0,US,2012-04-18,CA-2012-142601,Medium,OFF-PA-10000483,Xerox 19,27.882,2,West,62,Home Office,2012-04-20,Second Class,8.38,California,Paper,2012,North America,16,2,29,36,2,2,0,1,-8.38
Office Supplies,Los Angeles,United States,AJ-107804,Anthony Jacobs,0.0,US,2012-05-18,CA-2012-165554,Medium,OFF-PA-10003724,"Wirebound Message Book, 4 per Page",5.3214,2,West,11,Corporate,2012-05-22,Standard Class,1.0,California,Paper,2012,North America,20,4,17,19,4,4,0,1,-1.0
Office Supplies,Los Angeles,United States,CG-120404,Catherine Glotzbach,0.0,US,2012-06-01,CA-2012-161242,Medium,OFF-PA-10001838,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",5.7624,2,West,12,Home Office,2012-06-08,Standard Class,0.82,California,Paper,2012,North America,22,7,24,54,4,4,1,0,-0.82
Office Supplies,Los Angeles,United States,MO-178004,Meg O'Connel,0.0,US,2012-09-17,CA-2012-133025,Critical,OFF-PA-10004100,Xerox 216,15.552,5,West,32,Home Office,2012-09-19,Second Class,7.02,California,Paper,2012,North America,38,2,51,55,2,2,0,1,-7.02
Office Supplies,Los Angeles,United States,RW-195404,Rick Wilson,0.0,US,2012-09-19,CA-2012-132815,High,OFF-PA-10004530,Personal Creations Ink Jet Cards and Labels,11.2504,2,West,23,Corporate,2012-09-22,Second Class,3.62,California,Paper,2012,North America,38,3,33,29,2,2,1,0,-3.62
Office Supplies,Los Angeles,United States,YC-218954,Yoseph Carroll,0.0,US,2012-11-12,CA-2012-153220,High,OFF-PA-10003016,"Adams ""While You Were Out"" Message Pads",7.065,5,West,16,Corporate,2012-11-14,First Class,3.41,California,Paper,2012,North America,46,2,70,53,1,1,1,0,-3.41
Office Supplies,Los Angeles,United States,SN-207104,Steve Nguyen,0.0,US,2012-11-27,CA-2012-125234,Medium,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",53.4954,3,West,114,Home Office,2012-12-01,Standard Class,9.19,California,Paper,2012,North America,48,4,36,58,4,4,0,1,-9.19
Office Supplies,Los Angeles,United States,DB-129703,Darren Budd,0.0,US,2012-12-14,CA-2012-141593,High,OFF-PA-10004983,Xerox 23,3.1104,1,West,6,Corporate,2012-12-16,Second Class,1.31,California,Paper,2012,North America,50,2,62,33,2,2,0,1,-1.31
